Group,RUELLE_ID
1,RPP-I-1000035
1,RPP-T-1000004
1,RPP-I-1000102
1,RPP-H-1000032
2,RPP-I-1000036
2,RPP-H-1000050
2,RPP-J-1000001
2,RPP-J-1000002
2,RPP-I-1000084
3,RPP-T-1000075
3,RPP-I-1000074
3,RPP-I-1000010
3,RPP-I-1000055
4,RPP-L-1000051
4,RPP-I-1000034
4,RPP-I-1000103
4,RPP-I-1000021
4,RPP-I-1000078
4,RPP-I-1000077
5,RPP-I-1000086
5,RPP-H-1000040
5,RPP-I-1000039
5,RPP-I-1000073
5,RPP-J-1000084
6,RPP-I-1000114
6,RPP-I-1000113
6,RPP-I-1000023
6,RPP-I-1000087
7,RPP-I-1000033
7,RPP-H-1000076
7,RPP-H-1000104
7,RPP-T-1000022
7,RPP-T-1000081
8,RPP-T-1000079
8,RPP-H-1000080
8,RPP-H-1000081
8,RPP-J-1000047
8,RPP-L-1000048
9,RPP-T-1000072
9,RPP-H-1000069
9,RPP-H-1000089
9,RPP-H-1000003
10,RPP-I-1000105
10,RPP-I-1000101
10,RPP-I-1000083
10,RPP-I-1000052
10,RPP-I-1000053
11,RPP-I-1000038
11,RPP-L-1000099
11,RPP-I-1000098
11,RPP-H-1000025
11,RPP-H-1000070
12,RPP-T-1000026
12,RPP-H-1000044
12,RPP-H-1000045
12,RPP-T-1000063
12,RPP-T-1000046
13,RPP-H-1000060
13,RPP-H-1000065
13,RPP-H-1000005
13,RPP-H-1000043
13,RPP-H-1000059
14,RPP-H-1000109
14,RPP-H-1000006
14,RPP-H-1000094
14,RPP-H-1000093
14,RPP-H-1000090
14,RPP-T-1000117
15,RPP-H-1000066
15,RPP-H-1000067
15,RPP-H-1000015
15,RPP-H-1000057
15,RPP-H-1000088
16,RPP-H-1000016
16,RPP-H-1000027
16,RPP-H-1000041
16,RPP-H-1000068
16,RPP-H-1000056
17,RPP-H-1000014
17,RPP-H-1000042
17,RPP-I-1000054
17,RPP-T-1000108
17,RPP-L-1000037
18,RPP-T-1000115
18,RPP-T-1000049
18,RPP-T-1000028
18,RPP-T-1000024
19,RPP-H-1000110
19,RPP-H-1000058
19,RPP-T-1000116
19,RPP-H-1000017
19,RPP-H-1000106
20,RPP-H-1000012
20,RPP-H-1000013
20,RPP-T-1000062
20,RPP-T-1000118
20,RPP-I-1000112
20,RPP-I-1000020
21,RPP-H-1000061
21,RPP-F-1000092
21,RPP-H-1000064
21,RPP-F-1000029
21,RPP-T-1000091
22,RPP-H-1000111
22,RPP-H-1000095
22,RPP-H-1000097
22,RPP-H-1000096
22,RPP-H-1000030
23,RPP-H-1000107
23,RPP-H-1000009
23,RPP-I-1000018
23,RPP-I-1000071
23,RPP-H-1000019
24,RPP-H-1000100
24,RPP-H-1000014
24,RPP-H-1000007
24,RPP-H-1000008
