RuelleID,lat,long,sensor
RPP-H-1000003a,45.539963,-73.586916,temp
RPP-H-1000007,45.566297,-73.583265,temp
RPP-H-1000008,45.56906,-73.580653,temp
RPP-H-1000009,45.56654,-73.57257,temp
RPP-H-1000012b,45.4574247,-73.5575012,temp
RPP-H-1000013,45.5482956,-73.5575112,temp
RPP-H-1000015,45.549195,-73.579625,temp
RPP-H-1000016,45.54754,-73.58064,temp
RPP-H-1000017,45.558534,-73.585132,temp
RPP-H-1000019,45.5721449,-73.5690719,temp
RPP-H-1000025,45.54453,-73.58712,temp
RPP-H-1000058,45.5535108,-73.5735284,temp
RPP-H-1000065,45.547227,-73.577376,temp
RPP-H-1000066,45.550216,-73.578634,temp
RPP-H-1000093,45.550798,-73.571399,temp
RPP-H-1000111,45.5559344,-73.5715905,temp_approx
RPP-I-1000034,45.536038,-73.610805,temp
RPP-I-1000039,45.538442,-73.599328,temp
RPP-I-1000077,45.535676,-73.613074,temp
RPP-I-1000102a,45.53132,-73.617933,temp
RPP-I-1000102b,45.5316047,-73.6177429,temp
RPP-I-1000105,45.5471,-73.60063,temp
RPP-J-1000047,45.545864,-73.607031,temp
RPP-T-1000026,45.54332,-73.57956,temp
