RUELLE_ID,Uniq_S_ID,lat,long,Group_S_ID
RPP-F-1000029,49,-395794.01720631577,186372.2571249567,RPP-F-1000029_1
RPP-F-1000029,50,-395755.13801539136,186352.26735226298,RPP-F-1000029_2
RPP-F-1000029,51,-395821.70946022903,186387.4786949904,RPP-F-1000029_3
RPP-F-1000092,52,-395587.8863499596,186260.45855512327,RPP-F-1000092_1
RPP-F-1000092,53,-395527.757731236,186227.87272304407,RPP-F-1000092_2
RPP-F-1000092,54,-395644.13570295833,186291.49268091575,RPP-F-1000092_3
RPP-H-1000003,253,-397355.3283046775,184715.9289070471,RPP-H-1000003_1
RPP-H-1000003,254,-397350.67318580946,184721.3598790588,RPP-H-1000003_2
RPP-H-1000003,255,-397358.81964382925,184711.27378817846,RPP-H-1000003_3
RPP-H-1000003,378,-397259.78136928234,184646.43411497725,RPP-H-1000003_4
RPP-H-1000003,379,-397256.29156263964,184651.08719050797,RPP-H-1000003_5
RPP-H-1000003,380,-397263.6941827914,184641.78103945576,RPP-H-1000003_6
RPP-H-1000005,157,-396477.8868887079,185508.07496793024,RPP-H-1000005_1
RPP-H-1000005,158,-396434.43911259825,185485.18730015098,RPP-H-1000005_2
RPP-H-1000005,159,-396520.5588116734,185529.0230028353,RPP-H-1000005_3
RPP-H-1000006,178,-396113.0419473575,185622.12538021273,RPP-H-1000006_1
RPP-H-1000006,179,-396162.696548626,185647.7285339957,RPP-H-1000006_2
RPP-H-1000006,180,-396061.8356397996,185595.74637329104,RPP-H-1000006_3
RPP-H-1000007,19,-396864.3616272088,187620.70504978532,RPP-H-1000007_1
RPP-H-1000007,20,-396912.59383104445,187646.11308572875,RPP-H-1000007_2
RPP-H-1000007,21,-396810.9616872469,187591.20588940766,RPP-H-1000007_3
RPP-H-1000008,13,-396535.9075288687,187860.75560288935,RPP-H-1000008_1
RPP-H-1000008,14,-396528.76702415844,187874.6399176019,RPP-H-1000008_2
RPP-H-1000008,15,-396543.14720725577,187847.16880920378,RPP-H-1000008_3
RPP-H-1000008,16,-396743.5028272601,187987.02848652753,RPP-H-1000008_4
