"","RUELLE_ID","lat_S1","lat_S2","lat_S3","lat_S4","lat_S5","lat_S6","long_S1","long_S2","long_S3","long_S4","long_S5","long_S6"
"1","RPP-H-1000019",-395731.591807611,-395666.657569697,-395610.847788135,NA,NA,NA,188198.981038491,188165.052234779,188136.350061404,NA,NA,NA
"2","RPP-I-1000071",-395540.42115902,-395532.979854812,-395548.216811048,NA,NA,NA,187825.675610706,187840.735393033,187811.678871838,NA,NA,NA
"3","RPP-H-1000009",-395960.848972868,-395954.303510217,-395968.088651255,NA,NA,NA,187558.72206655,187571.713818175,187545.531967572,NA,NA,NA
"4","RPP-I-1000018",-396014.898626577,-396021.741610257,-396008.551511279,NA,NA,NA,187503.482328723,187491.482313863,187515.28399623,NA,NA,NA
"5","RPP-H-1000008b",-396535.907536223,-396528.767031513,-396543.14721461,NA,NA,NA,187860.75549842,187874.639813134,187847.168704735,NA,NA,NA
"6","RPP-H-1000008a",-396743.502834618,-396740.230103293,-396747.420194841,NA,NA,NA,187987.028382061,187993.772192065,187980.18539838,NA,NA,NA
"7","RPP-H-1000007",-396864.361634568,-396912.593838405,-396810.961694606,NA,NA,NA,187620.704945321,187646.11298127,187591.205784939,NA,NA,NA
"8","RPP-H-1000014a",-396658.29815657,-396711.698096532,-396604.898216608,NA,NA,NA,187346.814930677,187375.237479367,187318.823026665,NA,NA,NA
"9","RPP-H-1000100",-396263.18166532,-396305.600166015,-396220.978486963,NA,NA,NA,187303.319818289,187325.49801916,187280.926295079,NA,NA,NA
"10","RPP-H-1000107",-396060.993989415,-396087.047992381,-396033.863374757,NA,NA,NA,187196.304616027,187210.515890371,187181.878019343,NA,NA,NA
"11","RPP-H-1000030",-396062.503701934,-396095.881120558,-396027.017270593,NA,NA,NA,186845.22604595,186863.932071773,186826.428323922,NA,NA,NA
"12","RPP-H-1000096",-396099.090487734,-396134.485222869,-396064.062537419,NA,NA,NA,186783.881284796,186803.320880259,186765.542043794,NA,NA,NA
"13","RPP-H-1000097",-396177.949224045,-396212.97717436,-396144.57180542,NA,NA,NA,186664.492825869,186682.648674461,186645.603407636,NA,NA,NA
"14","RPP-H-1000095",-395959.437167499,-395928.443850204,-395988.963345513,NA,NA,NA,186544.279101096,186527.223606964,186560.050848359,NA,NA,NA
"15","RPP-H-1000111",-396005.835447235,-396026.192004748,-395986.395851772,NA,NA,NA,186392.613578004,186403.800515016,186382.160210633,NA,NA,NA
"16","RPP-T-1000091",-395755.688199959,-395718.092755903,-395788.148656534,NA,NA,NA,186432.95990821,186412.419958287,186451.115756803,NA,NA,NA
"17","RPP-F-1000029",-395794.017213654,-395755.138022729,-395821.709467568,NA,NA,NA,186372.257020491,186352.267247798,186387.478590524,NA,NA,NA
"18","RPP-F-1000092",-395587.886357293,-395527.757738569,-395644.135710294,NA,NA,NA,186260.458450662,186227.872618579,186291.492576455,NA,NA,NA
"19","RPP-H-1000061",-395668.963010928,-395614.265364218,-395715.126273046,NA,NA,NA,186123.908297172,186095.201730813,186147.959744661,NA,NA,NA
"20","RPP-H-1000064",-395878.831286605,-395902.882734095,-395855.943618833,NA,NA,NA,186235.243223455,186247.656873772,186224.381279427,NA,NA,NA
