"","x"
"1","c(-0.669737176864604, 0.998972717420162)"
"2","c(-0.669737176864604, 0.998972717420162)"
"3","c(-0.669737176864604, 0.998972717420162)"
"4","c(-0.669737176864604, 0.998972717420162)"
"5","c(-0.669737176864604, 0.998972717420162)"
"6","c(-0.669737176864604, 0.998972717420162)"
"7","c(-0.669737176864604, 0.998972717420162)"
"8","c(-0.669737176864604, 0.998972717420162)"
"9","c(-0.669737176864604, 0.998972717420162)"
"10","c(-0.669737176864604, 0.998972717420162)"
"11","c(-0.669737176864604, 0.998972717420162)"
"12","c(-0.669737176864604, 0.998972717420162)"
"13","c(-0.669737176864604, 0.998972717420162)"
"14","c(-0.669737176864604, 0.998972717420162)"
"15","c(-0.669737176864604, 0.998972717420162)"
"16","c(-0.669737176864604, 0.998972717420162)"
"17","c(-0.669737176864604, 0.998972717420162)"
"18","c(-0.669737176864604, 0.998972717420162)"
"19","c(-0.669737176864604, 0.998972717420162)"
"20","c(-0.669737176864604, 0.998972717420162)"
"21","c(-0.669737176864604, 0.998972717420162)"
"22","c(-0.669737176864604, 0.998972717420162)"
"23","c(-0.669737176864604, 0.998972717420162)"
"24","c(-0.669737176864604, 0.998972717420162)"
"25","c(-0.669737176864604, 0.998972717420162)"
"26","c(-0.669737176864604, 0.998972717420162)"
"27","c(-0.669737176864604, 0.998972717420162)"
"28","c(-0.669737176864604, 0.998972717420162)"
"29","c(-0.669737176864604, 0.998972717420162)"
"30","c(-0.669737176864604, 0.998972717420162)"
"31","c(-0.669737176864604, 0.998972717420162)"
"32","c(-0.669737176864604, 0.998972717420162)"
"33","c(-0.669737176864604, 0.998972717420162)"
"34","c(-0.669737176864604, 0.998972717420162)"
"35","c(-0.669737176864604, 0.998972717420162)"
"36","c(-0.669737176864604, 0.998972717420162)"
"37","c(-0.641808879905413, 0.993916925031799)"
"38","c(-0.641808879905413, 0.993916925031799)"
"39","c(-0.641808879905413, 0.993916925031799)"
"40","c(-0.641808879905413, 0.993916925031799)"
"41","c(-0.641808879905413, 0.993916925031799)"
"42","c(-0.641808879905413, 0.993916925031799)"
"43","c(-0.641808879905413, 0.993916925031799)"
"44","c(-0.641808879905413, 0.993916925031799)"
"45","c(-0.641808879905413, 0.993916925031799)"
"46","c(-0.641808879905413, 0.993916925031799)"
"47","c(-0.641808879905413, 0.993916925031799)"
"48","c(-0.641808879905413, 0.993916925031799)"
"49","c(-0.641808879905413, 0.993916925031799)"
"50","c(-0.641808879905413, 0.993916925031799)"
"51","c(-0.641808879905413, 0.993916925031799)"
"52","c(-0.641808879905413, 0.993916925031799)"
"53","c(-0.641808879905413, 0.993916925031799)"
"54","c(-0.641808879905413, 0.993916925031799)"
"55","c(-0.641808879905413, 0.993916925031799)"
"56","c(-0.641808879905413, 0.993916925031799)"
"57","c(-0.641808879905413, 0.993916925031799)"
"58","c(-0.641808879905413, 0.993916925031799)"
"59","c(-0.641808879905413, 0.993916925031799)"
"60","c(-0.641808879905413, 0.993916925031799)"
"61","c(-0.641808879905413, 0.993916925031799)"
"62","c(-0.641808879905413, 0.993916925031799)"
"63","c(-0.641808879905413, 0.993916925031799)"
"64","c(-0.641808879905413, 0.993916925031799)"
"65","c(-0.641808879905413, 0.993916925031799)"
"66","c(-0.641808879905413, 0.993916925031799)"
"67","c(-0.641808879905413, 0.993916925031799)"
"68","c(-0.641808879905413, 0.993916925031799)"
"69","c(-0.641808879905413, 0.993916925031799)"
"70","c(-0.641808879905413, 0.993916925031799)"
"71","c(-0.641808879905413, 0.993916925031799)"
"72","c(-0.641808879905413, 0.993916925031799)"
"73","c(-0.801623468421448, 0.996073836322985)"
"74","c(-0.801623468421448, 0.996073836322985)"
"75","c(-0.801623468421448, 0.996073836322985)"
"76","c(-0.801623468421448, 0.996073836322985)"
"77","c(-0.801623468421448, 0.996073836322985)"
"78","c(-0.801623468421448, 0.996073836322985)"
"79","c(-0.801623468421448, 0.996073836322985)"
"80","c(-0.801623468421448, 0.996073836322985)"
"81","c(-0.801623468421448, 0.996073836322985)"
"82","c(-0.801623468421448, 0.996073836322985)"
"83","c(-0.801623468421448, 0.996073836322985)"
"84","c(-0.801623468421448, 0.996073836322985)"
"85","c(-0.801623468421448, 0.996073836322985)"
"86","c(-0.801623468421448, 0.996073836322985)"
"87","c(-0.801623468421448, 0.996073836322985)"
"88","c(-0.801623468421448, 0.996073836322985)"
"89","c(-0.801623468421448, 0.996073836322985)"
"90","c(-0.801623468421448, 0.996073836322985)"
"91","c(-0.801623468421448, 0.996073836322985)"
"92","c(-0.801623468421448, 0.996073836322985)"
"93","c(-0.801623468421448, 0.996073836322985)"
"94","c(-0.801623468421448, 0.996073836322985)"
"95","c(-0.801623468421448, 0.996073836322985)"
"96","c(-0.801623468421448, 0.996073836322985)"
"97","c(-0.801623468421448, 0.996073836322985)"
"98","c(-0.801623468421448, 0.996073836322985)"
"99","c(-0.801623468421448, 0.996073836322985)"
"100","c(-0.801623468421448, 0.996073836322985)"
"101","c(-0.801623468421448, 0.996073836322985)"
"102","c(-0.801623468421448, 0.996073836322985)"
"103","c(-0.801623468421448, 0.996073836322985)"
"104","c(-0.801623468421448, 0.996073836322985)"
"105","c(-0.801623468421448, 0.996073836322985)"
"106","c(-0.801623468421448, 0.996073836322985)"
"107","c(-0.801623468421448, 0.996073836322985)"
"108","c(-0.801623468421448, 0.996073836322985)"
"109","c(-0.669737176864604, 0.998972717420162)"
"110","c(-0.669737176864604, 0.998972717420162)"
"111","c(-0.669737176864604, 0.998972717420162)"
"112","c(-0.669737176864604, 0.998972717420162)"
"113","c(-0.669737176864604, 0.998972717420162)"
"114","c(-0.669737176864604, 0.998972717420162)"
"115","c(-0.669737176864604, 0.998972717420162)"
"116","c(-0.669737176864604, 0.998972717420162)"
"117","c(-0.669737176864604, 0.998972717420162)"
"118","c(-0.669737176864604, 0.998972717420162)"
"119","c(-0.669737176864604, 0.998972717420162)"
"120","c(-0.669737176864604, 0.998972717420162)"
"121","c(-0.669737176864604, 0.998972717420162)"
"122","c(-0.669737176864604, 0.998972717420162)"
"123","c(-0.669737176864604, 0.998972717420162)"
"124","c(-0.669737176864604, 0.998972717420162)"
"125","c(-0.669737176864604, 0.998972717420162)"
"126","c(-0.669737176864604, 0.998972717420162)"
"127","c(-0.669737176864604, 0.998972717420162)"
"128","c(-0.669737176864604, 0.998972717420162)"
"129","c(-0.669737176864604, 0.998972717420162)"
"130","c(-0.669737176864604, 0.998972717420162)"
"131","c(-0.669737176864604, 0.998972717420162)"
"132","c(-0.669737176864604, 0.998972717420162)"
"133","c(-0.669737176864604, 0.998972717420162)"
"134","c(-0.669737176864604, 0.998972717420162)"
"135","c(-0.669737176864604, 0.998972717420162)"
"136","c(-0.669737176864604, 0.998972717420162)"
"137","c(-0.669737176864604, 0.998972717420162)"
"138","c(-0.669737176864604, 0.998972717420162)"
"139","c(-0.669737176864604, 0.998972717420162)"
"140","c(-0.669737176864604, 0.998972717420162)"
"141","c(-0.669737176864604, 0.998972717420162)"
"142","c(-0.669737176864604, 0.998972717420162)"
"143","c(-0.669737176864604, 0.998972717420162)"
"144","c(-0.669737176864604, 0.998972717420162)"
"145","c(-0.641808879905413, 0.993916925031799)"
"146","c(-0.641808879905413, 0.993916925031799)"
"147","c(-0.641808879905413, 0.993916925031799)"
"148","c(-0.641808879905413, 0.993916925031799)"
"149","c(-0.641808879905413, 0.993916925031799)"
"150","c(-0.641808879905413, 0.993916925031799)"
"151","c(-0.641808879905413, 0.993916925031799)"
"152","c(-0.641808879905413, 0.993916925031799)"
"153","c(-0.641808879905413, 0.993916925031799)"
"154","c(-0.641808879905413, 0.993916925031799)"
"155","c(-0.641808879905413, 0.993916925031799)"
"156","c(-0.641808879905413, 0.993916925031799)"
"157","c(-0.641808879905413, 0.993916925031799)"
"158","c(-0.641808879905413, 0.993916925031799)"
"159","c(-0.641808879905413, 0.993916925031799)"
