"","Group","RUELLE_ID","lat_S1","lon_S1","lat_S2","lon_S2","lat_S3","lon_S3"
"1",1,"RPP-I-1000035",-399542.220672744,183536.887001549,-399476.654608547,183489.087225714,-399601.864640821,183581.302722457
"2",1,"RPP-T-1000004",-399916.225579853,183955.592720648,-399882.088041481,183930.377493441,-399947.647632219,183979.644168138
"3",1,"RPP-I-1000102a",-399773.468601204,183940.075657751,-399762.606657176,183931.153346586,-399784.330545232,183948.610042345
"4",1,"RPP-I-1000102b",-399795.580415832,183912.920797682,-399782.778838942,183907.101899096,-399808.769919294,183919.515549413
"5",1,"RPP-H-1000032",-399814.200891308,184061.108748345,-399771.528968342,184029.298769407,-399850.665989115,184089.427388132
"6",2,"RPP-I-1000036",-399059.683707957,183685.207899673,-399016.235931846,183652.62206759,-399114.76928124,183726.716042922
"7",2,"RPP-H-1000050",-399129.704454278,183938.523951462,-399083.929118733,183903.222633372,-399180.522835265,183975.376975841
"8",2,"RPP-J-1000001",-399133.891346011,184108.424845842,-399128.090789791,184104.695916843,-399140.52055312,184113.811076618
"9",2,"RPP-J-1000002",-399014.102335698,184018.824751952,-398977.637237891,183991.669891883,-399047.076094353,184043.652052587
"10",2,"RPP-I-1000084",-398888.220162949,183756.974315571,-398826.927764507,183711.198980025,-398944.081589377,183799.646238536
"11",3,"RPP-T-1000075",-398794.729858996,183854.343885247,-398750.118303168,183821.370126592,-398844.384460265,183892.748615917
"12",3,"RPP-I-1000074",-398688.437978154,184010.678293931,-398633.740331443,183968.78222411,-398748.566596878,184054.901923187
"13",3,"RPP-I-1000010b",-398332.903274533,183990.118185593,-398272.386729236,183946.28248291,-398395.359452692,184037.057300856
"14",3,"RPP-I-1000010a",-398568.180740704,184167.78855576,-398514.258947138,184127.832118801,-398631.412772009,184214.727671023
"15",3,"RPP-I-1000055",-398278.205627822,184064.98801407,-398211.870183939,184015.3334128,-398336.782540257,184109.599569898
"16",4,"RPP-L-1000051",-398847.875799417,184377.656831438,-398794.729858996,184338.088321051,-398895.590767824,184413.734002673
"17",4,"RPP-I-1000034",-399189.639109716,184385.803289459,-399125.243298695,184337.312467907,-399255.9745536,184435.457890728
"18",4,"RPP-I-1000103",-399127.958784702,184477.741887122,-399063.175047109,184428.863138997,-399190.414962862,184525.068928956
"19",4,"RPP-I-1000021",-399075.200770854,184549.120376446,-399015.460078701,184503.732967473,-399136.881095868,184594.119858847
"20",4,"RPP-I-1000078",-399353.344123277,184647.65372584,-399304.853301725,184611.964481178,-399397.955679105,184679.851631351
"21",4,"RPP-I-1000077",-399389.421294511,184374.553418859,-399382.82654278,184383.863656597,-399396.403972815,184366.406960838
"22",5,"RPP-I-1000086",-397831.896106257,184253.908254837,-397798.922347602,184229.856807347,-397862.154378906,184276.407996037
"23",5,"RPP-H-1000040",-397987.066735224,184469.983355673,-397942.843105968,184436.233743873,-398028.1869519,184500.629554894
"24",5,"RPP-I-1000039",-398279.175444254,184584.421694536,-398224.477797543,184543.689404433,-398322.235293792,184616.231673475
"25",5,"RPP-I-1000073",-398329.99382524,184508.388086343,-398279.175444254,184471.535061963,-398379.64842651,184544.85318415
"26",5,"RPP-J-1000084",-398529.388083463,184765.971330427,-398477.793849331,184728.730379475,-398582.921950456,184805.539840814
"27",6,"RPP-I-1000114",-398638.395450312,184601.878390295,-398573.999639291,184554.163421888,-398692.317243878,184641.058974109
"28",6,"RPP-I-1000113",-398892.875281817,184788.471071628,-398833.134589665,184744.247442372,-398944.081589376,184826.099949152
"29",6,"RPP-I-1000023",-397945.995009369,184992.520448719,-397887.806023507,184949.072672609,-398013.106306397,185028.209693382
"30",6,"RPP-I-1000087",-397650.798348212,184767.308222422,-397642.338210896,184761.174622868,-397657.566458065,184772.384304812
"31",7,"RPP-I-1000033",-399094.791062761,185071.26954292,-399027.679765732,185022.390794795,-399161.514433216,185120.924144189
"32",7,"RPP-H-1000076",-398720.441920378,185023.942501085,-398669.623539392,184986.31362356,-398765.053476206,185055.752480023
"33",7,"RPP-H-1000104",-398663.416714233,185100.364035851,-398611.434553529,185061.959305182,-398711.907535785,185134.889500796
"34",7,"RPP-T-1000022",-398604.451875225,185171.354598603,-398545.87496279,185128.294749065,-398659.537448509,185213.638594997
"35",7,"RPP-T-1000081",-398538.892284487,185246.22442708,-398490.013536362,185200.061164962,-398597.857123494,185288.120496901
"36",8,"RPP-T-1000079",-399038.54170976,185139.156693093,-398982.29235676,185098.424402989,-399095.954842478,185180.664836341
"37",8,"RPP-H-1000080",-398984.231989622,185215.190301286,-398935.74116807,185180.276909769,-399031.559031457,185249.715766231
"38",8,"RPP-H-1000081",-398926.430930332,185290.835982908,-398871.733283621,185251.655399094,-398974.533825311,185326.137300998
"39",8,"RPP-J-1000047",-398813.932224331,185444.066979012,-398759.622504192,185403.334688909,-398863.5868256,185481.695856537
"40",8,"RPP-L-1000048",-398774.363713944,185512.342055758,-398720.441920378,185471.609765654,-398836.819892103,185556.177758441
"41",9,"RPP-T-1000072",-397621.688394829,185022.778721368,-397585.999150166,184995.623861299,-397649.23118147,185044.502609423
"42",9,"RPP-H-1000069",-397270.372392683,184834.634333745,-397224.597057138,184799.333015655,-397314.983948511,184868.771872118
"43",9,"RPP-H-1000089",-397287.829088442,184765.195477283,-397243.605459187,184732.221718627,-397325.457965967,184794.289970214
"44",9,"RPP-H-1000003b",-397355.328312043,184715.928802586,-397350.673193174,184721.3597746,-397358.819651194,184711.273683717
"45",10,"RPP-I-1000105",-398332.369875496,185570.143115047,-398269.913697337,185521.264366923,-398380.084843903,185607.771992572
"46",10,"RPP-I-1000101",-398023.580323852,185429.32576926,-397965.003411417,185384.32628686,-398075.174557984,185470.833912509
"47",10,"RPP-I-1000083",-397972.761942866,185499.540478868,-397912.633324141,185453.765143322,-398037.545680459,185549.970933282
"48",10,"RPP-I-1000052",-397804.789737009,185163.596067155,-397746.212824575,185118.984511327,-397858.323604003,185205.492136976
"49",10,"RPP-I-1000053",-397765.221226623,185231.095290755,-397823.798139058,185276.482699728,-397714.402845636,185193.078486659
"50",11,"RPP-I-1000038",-397725.652716236,185309.456458384,-397658.541419208,185258.638077397,-397781.902069237,185352.904234494
"51",11,"RPP-L-1000099",-397637.205457726,185468.118426502,-397583.671590732,185426.998209826,-397683.368719843,185504.195597737
"52",11,"RPP-I-1000098",-397433.544007207,185311.396091246,-397407.552926855,185292.387689197,-397454.87996869,185329.628640149
"53",11,"RPP-H-1000025",-397298.545560006,185208.207622983,-397290.764606949,185203.072669738,-397305.2659975,185213.84513129
"54",11,"RPP-H-1000070a",-397177.512469412,185317.214989832,-397171.693570826,185324.585594708,-397184.107221143,185309.068531811
"55",11,"RPP-H-1000070b",-397249.746387961,185283.037480492,-397240.631228186,185276.822598827,-397231.516068411,185269.364740829
"56",12,"RPP-T-1000026",-396734.11239714,185045.66638914,-396691.052547602,185014.632263347,-396770.577494947,185072.045396065
"57",12,"RPP-H-1000044b",-396304.968626404,185274.155140294,-396261.132923721,185251.655399094,-396341.045797639,185292.77561577
"58",12,"RPP-H-1000045",-396274.613372112,185327.689007287,-396226.12255056,185302.085853508,-396315.345662216,185348.249115625
"59",12,"RPP-T-1000063",-396013.635770519,185344.95173976,-395992.299809036,185334.477722305,-396031.48039285,185353.874050925
"60",12,"RPP-T-1000046",-395981.049938436,185403.916578767,-396004.713459354,185416.718155657,-395959.713976953,185392.666708167
"61",13,"RPP-H-1000060",-396548.489532238,185392.860671453,-396509.696874996,185373.07641626,-396584.954630045,185411.481146929
"62",13,"RPP-H-1000065",-396517.843333017,185452.213437033,-396476.335189769,185431.265402122,-396555.084283969,185471.609765654
"63",13,"RPP-H-1000005",-396477.886896058,185508.074863461,-396434.439119948,185485.187195688,-396520.558819024,185529.022898371
"64",13,"RPP-H-1000043",-396425.12888221,185631.047586917,-396387.500004685,185611.651258296,-396462.369833162,185650.83184211
"65",13,"RPP-H-1000059",-396392.930976699,185690.400352497,-396352.586613168,185669.452317586,-396437.154605955,185712.900093697
"66",14,"RPP-H-1000109",-396328.535165678,185807.554177366,-396288.966655292,185787.381995601,-396366.551969775,185827.338432559
"67",14,"RPP-H-1000006",-396113.041954701,185622.125275751,-396162.69655597,185647.728429531,-396061.835647142,185595.746268827
"68",14,"RPP-H-1000094",-396073.473444314,185758.287502669,-396034.680787073,185738.503247476,-396106.44720297,185774.580418711
"69",14,"RPP-H-1000093",-396042.827245094,185831.993551428,-396007.525927004,185813.373075952,-396075.413077177,185849.062320615
"70",14,"RPP-H-1000090",-396030.025668204,185902.596187608,-396004.034587852,185889.406684146,-396055.240895411,185915.78569107
"71",14,"RPP-T-1000117",-396359.957218044,185748.201411787,-396314.957735643,185725.701670586,-396400.689508147,185769.925299842
"72",15,"RPP-H-1000066",-396599.695839797,185796.304306766,-396569.049640576,185780.399317297,-396629.178259301,185811.045516518
"73",15,"RPP-H-1000067",-396631.117892163,185736.175688042,-396604.738885238,185722.598258007,-396660.600311666,185751.304824366
"74",15,"RPP-H-1000015",-396661.764091383,185677.598775607,-396634.609231314,185662.469639282,-396693.574070322,185693.115838503
"75",15,"RPP-H-1000057",-396694.349923467,185618.246010027,-396663.315797673,185602.341020558,-396723.444416398,185633.375146351
"76",15,"RPP-H-1000088",-396724.996122687,185558.505317875,-396752.150982757,185572.08274791,-396699.392968908,185545.315814413
"77",16,"RPP-H-1000016",-396754.478542191,185497.212919433,-396724.608196115,185482.859636254,-396781.63340226,185512.342055757
"78",16,"RPP-H-1000027",-396987.234485641,185541.824475261,-396948.829754971,185522.816073213,-397020.596170868,185559.28117102
"79",16,"RPP-H-1000041",-396945.726342392,185595.746268827,-396912.364657164,185579.065426213,-396975.984615041,185612.039184868
"80",16,"RPP-H-1000068",-396910.425024302,185653.547328117,-396875.511632785,185635.702705786,-396943.398782958,185669.840244158
