"","RUELLE_ID","Uniq_S_ID","lat","long","Group_S_ID"
"1","RPP-H-1000003b",241,-397355.328312043,184715.928802586,"RPP-H-1000003b_1"
"2","RPP-H-1000003b",242,-397350.673193174,184721.3597746,"RPP-H-1000003b_2"
"3","RPP-H-1000003b",243,-397358.819651194,184711.273683717,"RPP-H-1000003b_3"
"4","RPP-H-1000008a",16,-396743.502834618,187987.028382061,"RPP-H-1000008a_1"
"5","RPP-H-1000008a",17,-396740.230103293,187993.772192065,"RPP-H-1000008a_2"
"6","RPP-H-1000008a",18,-396747.420194841,187980.18539838,"RPP-H-1000008a_3"
"7","RPP-H-1000008b",13,-396535.907536223,187860.75549842,"RPP-H-1000008b_1"
"8","RPP-H-1000008b",14,-396528.767031513,187874.639813134,"RPP-H-1000008b_2"
"9","RPP-H-1000008b",15,-396543.14721461,187847.168704735,"RPP-H-1000008b_3"
"10","RPP-H-1000012a",193,-395044.110284408,185424.282723819,"RPP-H-1000012a_1"
"11","RPP-H-1000012a",194,-395035.963826387,185438.636006998,"RPP-H-1000012a_2"
"12","RPP-H-1000012a",195,-395054.584301863,185404.110542053,"RPP-H-1000012a_3"
"13","RPP-H-1000012b",190,-394862.948575089,185332.732052729,"RPP-H-1000012b_1"
"14","RPP-H-1000012b",191,-394854.802117068,185349.800821915,"RPP-H-1000012b_2"
"15","RPP-H-1000012b",192,-394870.707106537,185314.499503825,"RPP-H-1000012b_3"
"16","RPP-H-1000014a",22,-396658.29815657,187346.814930677,"RPP-H-1000014a_1"
"17","RPP-H-1000014a",23,-396711.698096532,187375.237479367,"RPP-H-1000014a_2"
"18","RPP-H-1000014a",24,-396604.898216608,187318.823026665,"RPP-H-1000014a_3"
"19","RPP-H-1000014b",106,-396838.270681833,185767.209813835,"RPP-H-1000014b_1"
"20","RPP-H-1000014b",107,-396859.994569888,185777.295904718,"RPP-H-1000014b_2"
"21","RPP-H-1000014b",108,-396812.279601481,185754.020310373,"RPP-H-1000014b_3"
"22","RPP-H-1000044b",166,-396304.968626404,185274.155140294,"RPP-H-1000044b_1"
"23","RPP-H-1000044b",167,-396261.132923721,185251.655399094,"RPP-H-1000044b_2"
"24","RPP-H-1000044b",168,-396341.045797639,185292.77561577,"RPP-H-1000044b_3"
"25","RPP-H-1000070a",199,-397177.512469412,185317.214989832,"RPP-H-1000070a_1"
"26","RPP-H-1000070a",200,-397171.693570826,185324.585594708,"RPP-H-1000070a_2"
"27","RPP-H-1000070a",201,-397184.107221143,185309.068531811,"RPP-H-1000070a_3"
"28","RPP-H-1000070b",202,-397249.746387961,185283.037480492,"RPP-H-1000070b_1"
"29","RPP-H-1000070b",203,-397240.631228186,185276.822598827,"RPP-H-1000070b_2"
"30","RPP-H-1000070b",204,-397231.516068411,185269.364740829,"RPP-H-1000070b_3"
"31","RPP-I-1000010a",313,-398568.180740704,184167.78855576,"RPP-I-1000010a_1"
"32","RPP-I-1000010a",314,-398514.258947138,184127.832118801,"RPP-I-1000010a_2"
