RUELLE_ID,lat_S1,lat_S2,lat_S3,long_S1,long_S2,long_S3
RPP-H-1000019,-395731.59180027095,-395666.65756235935,-395610.8477807973,188198.98114295801,188165.05233924466,188136.35016587086
RPP-I-1000071,-395540.4211516841,-395532.97984747624,-395548.2168037121,187825.67571517813,187840.73549749938,187811.67897630646
RPP-H-1000009,-395960.84896552534,-395954.30350287433,-395968.0886439117,187558.7221710171,187571.71392264726,187545.53207203755
RPP-I-1000018,-396014.89861923305,-396021.7416029133,-396008.5515039355,187503.48243318475,187491.48241832876,187515.28410069342
RPP-H-1000008b,-396535.9075288687,-396528.76702415844,-396543.14720725577,187860.75560288935,187874.6399176019,187847.16880920378
RPP-H-1000008a,-396743.5028272601,-396740.23009593453,-396747.4201874827,187987.02848652753,187993.77229653118,187980.18550284137
RPP-H-1000007,-396864.3616272088,-396912.59383104445,-396810.9616872469,187620.70504978532,187646.11308572875,187591.20588940766
RPP-H-1000014a,-396658.2981492148,-396711.698089175,-396604.89820925373,187346.81503513723,187375.23758383107,187318.82313112877
RPP-H-1000100,-396263.1816579716,-396305.6001586656,-396220.9784796149,187303.31992275643,187325.49812362797,187280.9263995464
RPP-H-1000107,-396060.993982071,-396087.0479850355,-396033.863367413,187196.304720488,187210.51599484024,187181.87812380935
RPP-H-1000030,-396062.5036945892,-396095.8811132132,-396027.01726325037,186845.22615041467,186863.93217624197,186826.4284283888
RPP-H-1000096,-396099.09048039006,-396134.48521552276,-396064.06253007526,186783.88138925657,186803.32098473475,186765.54214825755
RPP-H-1000097,-396177.94921669934,-396212.977167014,-396144.57179807517,186664.49293032972,186682.6487789259,186645.60351210102
RPP-H-1000095,-395959.43716015684,-395928.4438428638,-395988.96333817,186544.27920555766,186527.22371142433,186560.05095282668
RPP-H-1000111,-396005.83543989295,-396026.19199740596,-395986.39584443014,186392.61368246947,186403.80061947706,186382.16031509647
RPP-T-1000091,-395755.6881926211,-395718.0927485661,-395788.14864919527,186432.96001267308,186412.4200627575,186451.11586126717
RPP-F-1000029,-395794.01720631577,-395755.13801539136,-395821.70946022903,186372.2571249567,186352.26735226298,186387.4786949904
RPP-F-1000092,-395587.8863499596,-395527.757731236,-395644.13570295833,186260.45855512327,186227.87272304407,186291.49268091575
RPP-H-1000061,-395668.96300359204,-395614.2653568832,-395715.1262657083,186123.90840164045,186095.20183527982,186147.95984913173
RPP-H-1000064,-395878.8312792652,-395902.88272675435,-395855.94361149333,186235.24332791643,186247.6569782371,186224.38138389663
RPP-I-1000112,-394993.0009511708,-394911.92429753696,-395056.2329824728,186019.16822708817,185975.3325244053,186054.08161860277
RPP-I-1000020,-394742.0124588224,-394747.83135740826,-394735.80563366436,186039.34040885378,186029.64224453754,186049.03857315236
RPP-T-1000118,-394800.20144468354,-394815.7185075792,-394787.3998677937,185915.5918322515,185922.96243713447,185908.22122737486
RPP-T-1000062,-394816.30039743864,-394840.73977150075,-394798.84370168,185839.94615062603,185854.29943381308,185831.41176603737
RPP-H-1000058,-396175.59510715835,-396212.44813153794,-396135.6386702011,186131.6669330854,186151.45118827277,186111.88267788527
RPP-H-1000110,-396230.6806804411,-396272.9646768333,-396194.60350920627,186005.20287047795,186026.9267585324,185986.58239500475
RPP-T-1000116,-397083.2463049512,-397092.9444692617,-397074.90588364506,186393.71133275554,186377.2244534279,186410.9740652241
RPP-H-1000017,-397072.5783242103,-397019.82031036256,-397119.5174394708,186771.93974085522,186744.0090276397,186795.6032617739
RPP-H-1000106,-397512.4870573214,-397460.11697004695,-397562.14165858936,186707.54392983415,186680.00114319334,186732.75915704735
RPP-T-1000028,-397872.288953232,-397811.3844813641,-397930.09001252,186210.99791714243,186164.44672845016,186255.22154640072
RPP-T-1000049,-397762.50573324016,-397731.47160744725,-397795.47949189425,186238.54070378395,186214.87718286595,186263.36800442103
RPP-T-1000115,-397562.7235484493,-397495.2243248504,-397615.0936357244,186084.92178110755,186033.7154735424,186124.49029149365
RPP-L-1000037,-397291.7568376216,-397258.7830789673,-397314.644505394,185763.71857915234,185739.66713165614,185782.33905462487
RPP-T-1000108,-397070.2507647759,-397036.11322640465,-397101.67281714146,185818.02829928743,185792.03721893404,185842.46767335123
RPP-I-1000054,-396967.0622965156,-396974.8208279644,-396958.5279119227,185838.20048104736,185828.50231673606,185849.83827821937
RPP-H-1000014b,-396838.27067447646,-396859.9945625304,-396812.27959412476,185767.20991829693,185777.2960091801,185754.02041483537
RPP-H-1000056,-396879.39089115174,-396909.26123722724,-396852.2360310831,185712.5122715893,185728.02933447846,185698.54691497624
RPP-H-1000068,-396910.4250169437,-396875.51162542775,-396943.3987755988,185653.54743257992,185635.70281024472,185669.84034862058
RPP-H-1000041,-396945.72633503395,-396912.3646498066,-396975.9846076813,185595.7463732861,185579.06553067427,185612.03928933525
RPP-H-1000027,-396987.23447828216,-396948.8297476123,-397020.59616350883,185541.8245797186,185522.81617767707,185559.28127548264
RPP-H-1000016,-396754.478534836,-396724.608188761,-396781.63339490455,185497.21302389202,185482.85974071702,185512.34216022136
RPP-H-1000088,-396724.9961153325,-396752.1509754016,-396699.39296155376,185558.50542234388,185572.08285237305,185545.31591887737
RPP-H-1000057,-396694.3499161128,-396663.3157903195,-396723.4444090425,185618.24611449274,185602.34112502183,185633.3752508228
RPP-H-1000015,-396661.7640840302,-396634.60922396136,-396693.57406296796,185677.59888006834,185662.46974374607,185693.11594296456
RPP-H-1000067,-396631.11788480944,-396604.73887788574,-396660.6003043135,185736.1757925094,185722.5983624774,185751.30492882317
RPP-H-1000066,-396599.69583244424,-396569.04963322345,-396629.1782519472,185796.3044112273,185780.39942176416,185811.04562098123
RPP-H-1000044a,-396738.9614719394,-396714.52209787717,-396762.2370662839,185941.77687588407,185929.75115213808,185953.4146730596
RPP-H-1000109,-396328.5351583304,-396288.9666479449,-396366.55196242617,185807.55428183026,185787.3821000682,185827.338537024
RPP-T-1000117,-396359.9572106963,-396314.9577282958,-396400.6895007987,185748.20151624831,185725.70177505582,185769.92540430772
RPP-H-1000059,-396392.93096935103,-396352.5866058206,-396437.1545986056,185690.40045695732,185669.45242204587,185712.90019815761
RPP-H-1000043,-396425.1288748611,-396387.4999973371,-396462.36982581165,185631.0476913768,185611.65136275772,185650.83194657904
RPP-H-1000005,-396477.8868887079,-396434.43911259825,-396520.5588116734,185508.07496793024,185485.18730015098,185529.0230028353
RPP-H-1000065,-396517.84332566656,-396476.33518241905,-396555.0842766182,185452.21354149215,185431.26550658426,185471.6098701176
RPP-H-1000060,-396548.48952488706,-396509.69686764636,-396584.95462269365,185392.8607759187,185373.07652071645,185411.4812513919
RPP-H-1000045,-396274.6133647663,-396226.1225432153,-396315.3456548695,185327.68911175532,185302.08595797594,185348.24922008783
RPP-H-1000044b,-396304.96861905814,-396261.13291637565,-396341.0457902919,185274.15524475052,185251.65550355447,185292.77572022585
RPP-T-1000046,-395981.0499310956,-396004.7134520126,-395959.713969613,185403.91668323326,185416.71826012013,185392.66681262958
RPP-T-1000063,-396013.63576317864,-395992.2998016958,-396031.480385509,185344.95184422456,185334.4778267646,185353.874155395
RPP-H-1000006,-396113.0419473575,-396162.696548626,-396061.8356397996,185622.12538021273,185647.7285339957,185595.74637329104
RPP-H-1000094,-396073.4734369713,-396034.6807797304,-396106.4471956269,185758.28760713927,185738.50335194552,185774.58052317356
RPP-H-1000093,-396042.8272377518,-396007.5259196628,-396075.4130698341,185831.99365589058,185813.37318041592,185849.06242507635
RPP-H-1000090,-396030.02566086163,-396004.0345805108,-396055.24088806834,185902.59629207407,185889.40678861042,185915.78579553706
RPP-H-1000013,-394925.79267249955,-394881.9569698179,-394967.6887423196,185449.88598206808,185427.77416743257,185471.60987012254
RPP-H-1000012a,-394862.9485677691,-394854.8021097485,-394870.7070992179,185332.73215719513,185349.80092638233,185314.49960829024
RPP-H-1000012b,-395044.1102770843,-395035.9638190637,-395054.58429454005,185424.2828282816,185438.6361114644,185404.11064651317
RPP-T-1000026,-396734.11238978605,-396691.05254024797,-396770.57748759305,185045.66649360512,185014.63236781477,185072.04550052117
